Rowid_;FID;FREQUENCY;CUMUN;NMUN;N_SECCIONES
;0;1;16273;Villaverde y Pasaconsol;1
;0;1;16274;Víllora;1
;0;1;16275;Vindel;1
;0;1;16276;Yémeda;1
;0;1;16277;Zafra de Záncara;1
;0;1;16278;Zafrilla;1
;0;1;16279;Zarza de Tajo;1
;0;1;16280;Zarzuela;1
;0;1;16901;Campos del Paraíso;1
;0;1;16902;Valdetórtola;1
;0;1;16903;Valeras, Las;1
;0;1;16904;Fuentenava de Jábaga;1
;0;1;16905;Arcas;1
;0;1;16906;Valdecolmenas, Los;1
;0;1;16908;Pozorrubielos de la Mancha;1
;0;1;16909;Sotorribas;1
;0;1;16910;Villar y Velasco;1
;0;1;17001;Agullana;1
;0;1;17002;Aiguaviva;1
;0;1;17003;Albanyà;1
;0;1;17004;Albons;1
;0;1;17005;Far d'Empordà, El;1
;0;1;17006;Alp;1
;0;1;17007;Amer;1
;0;3;17008;Anglès;3
;0;3;17009;Arbúcies;3
;0;1;17010;Argelaguer;1
;0;1;17011;Armentera, L';1
;0;1;17012;Avinyonet de Puigventós;1
;0;3;17013;Begur;3
;0;1;17014;Vajol, La;1
;0;12;17015;Banyoles;12
;0;1;17016;Bàscara;1
;0;1;17018;Bellcaire d'Empordà;1
;0;1;17019;Besalú;1
;0;3;17020;Bescanó;3
;0;1;17021;Beuda;1
;0;6;17022;Bisbal d'Empordà, La;6
;0;22;17023;Blanes;22
;0;1;17024;Bolvir;1
;0;1;17025;Bordils;1
;0;1;17026;Borrassà;1
;0;2;17027;Breda;2
;0;1;17028;Brunyola;1
;0;1;17029;Boadella i les Escaules;1
;0;1;17030;Cabanes;1
;0;1;17031;Cabanelles;1
;0;1;17032;Cadaqués;1
;0;4;17033;Caldes de Malavella;4
;0;5;17034;Calonge;5
;0;1;17035;Camós;1
;0;3;17036;Campdevànol;3
;0;1;17037;Campelles;1
;0;1;17038;Campllong;1
;0;2;17039;Camprodon;2
